Temperature,Simulations,Return,Discounted Return,Map
1,21,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHFG']"
1,87,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'HHFH', 'HFFG']"
1,98,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,61,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FFHG']"
1,39,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,12,0,1.0,0.9248559951318693,"['SFFF', 'HHHF', 'HHHF', 'HFFG']"
1,49,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HFFG']"
1,53,0,1.0,0.8735386475474635,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,40,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHFF', 'FHHG']"
1,88,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFH', 'FHFG']"
1,87,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFHH', 'HFFG']"
1,90,0,1.0,0.9416796087056153,"['SFFF', 'HHFH', 'FHFH', 'HHFG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,48,0,1.0,0.9502058312852957,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,73,0,1.0,0.8894287717672626,"['SHHF', 'FHHH', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,43,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'HHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'HFHG']"
1,65,0,1.0,0.93603800616986,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,38,0,1.0,0.90289112180858,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,32,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'FFHG']"
1,93,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,72,0,1.0,0.985089730404757,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,46,0,1.0,0.9001824484431542,"['SFFH', 'HFFH', 'FHFF', 'HHHG']"
