Temperature,Simulations,Return,Discounted Return,Map
1,68,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFHF', 'HFFG']"
1,80,0,1.0,0.9733217421754432,"['SHHF', 'FFHF', 'HFFH', 'HFFG']"
1,31,0,1.0,0.7516921927868743,"['SFFF', 'HFHH', 'HFHH', 'FFFG']"
1,18,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HFHG']"
1,54,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFHF', 'HFFG']"
1,95,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FFFH', 'FHFG']"
1,30,0,0.0,0.0,"['SFFH', 'FFFF', 'HHFH', 'FHFG']"
1,68,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HHHF', 'HHHG']"
1,68,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,65,0,1.0,0.9616943356035061,"['SHFF', 'FFFH', 'FFFH', 'HHFG']"
1,35,0,1.0,0.93603800616986,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHH', 'HFFG']"
1,32,0,1.0,0.7494371162085136,"['SFFH', 'FHFH', 'FHHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,43,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'FHHF', 'HHFG']"
1,8,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'FHHG']"
1,50,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'HHHG']"
1,27,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'FFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
1,58,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'FFHH', 'FFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'HFFG']"
1,47,0,1.0,0.9791880578299021,"['SFHH', 'HFHF', 'FFFF', 'FFFG']"
1,43,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFFF', 'FHFG']"
1,61,0,1.0,0.985089730404757,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,10,0,1.0,0.7958514863018556,"['SFHH', 'HFHH', 'FFFF', 'HFFG']"
1,44,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'FFHF', 'HFFG']"
1,63,0,1.0,0.8176653739626438,"['SFHF', 'FFHH', 'FFFF', 'FHHG']"
1,10,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,100,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,94,0,1.0,0.7746195551602378,"['SFHF', 'HFFH', 'HHFH', 'HHFG']"
1,73,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'FHHF', 'FFFG']"
1,77,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FHHF', 'HHHG']"
1,22,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'HFFG']"
1,34,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
