Temperature,Simulations,Return,Discounted Return,Map
1,56,0,1.0,0.9733217421754432,"['SFHF', 'FHFH', 'FHHH', 'FFFG']"
1,24,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FHFG']"
1,36,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,78,0,1.0,0.9388545698794984,"['SHFF', 'FFFF', 'FHFH', 'FHFG']"
1,21,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,60,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,8,0,1.0,0.8078974551636565,"['SFFH', 'FFHH', 'FFHF', 'FFFG']"
1,39,0,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,94,0,1.0,0.9473552137914398,"['SFHH', 'FFFF', 'FFHF', 'FHFG']"
1,79,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'HFFF', 'FFHG']"
1,25,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'HFHG']"
1,60,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,41,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,55,0,1.0,0.9530650263643888,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,96,0,1.0,0.9248559951318693,"['SHFF', 'FFFF', 'HHHF', 'FHFG']"
1,32,0,0.0,0.0,"['SFFH', 'FHHH', 'FFHF', 'HFFG']"
1,85,0,1.0,0.9530650263643888,"['SHFH', 'FHHF', 'FFFH', 'HFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,69,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,45,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'HHFF', 'HHHG']"
1,51,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,8,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'FFFG']"
1,95,0,1.0,0.8553586117313603,"['SHFF', 'FFHH', 'HFHH', 'FFFG']"
1,86,0,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHHF', 'FFFG']"
1,8,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,57,0,1.0,0.9502058312852957,"['SHFH', 'FHHH', 'FHHH', 'FFFG']"
1,55,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HHHG']"
1,13,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'HHHG']"
1,17,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,34,0,1.0,0.9473552137914398,"['SHFF', 'FFFH', 'FHHH', 'FFFG']"
1,24,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HHHF', 'FHFG']"
1,26,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHH', 'HFFG']"
1,29,0,1.0,0.9559328248389055,"['SFFH', 'FHHF', 'FFFF', 'HFFG']"
1,45,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHHF', 'HHHG']"
1,95,0,1.0,0.8275513922024125,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,68,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'FHFG']"
