Temperature,Simulations,Return,Discounted Return,Map
1,70,0,1.0,0.9138075656044898,"['SFHH', 'HFHH', 'FFFF', 'FHHG']"
1,13,0,1.0,0.9332298921513504,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,63,0,1.0,0.9821344612135428,"['SFFH', 'HHFH', 'HFFF', 'HHFG']"
1,63,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'HFFF', 'HFFG']"
1,13,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FFHG']"
1,98,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFHF', 'HFHG']"
1,100,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFH', 'HFFG']"
1,84,0,1.0,0.985089730404757,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFH', 'HFFG']"
1,67,0,1.0,0.884100203995605,"['SFFH', 'FHFF', 'HHFH', 'HHFG']"
1,55,0,1.0,0.9645880999032158,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,29,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'FHFG']"
1,15,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFF', 'FHFG']"
1,36,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHH', 'HFFG']"
1,49,0,1.0,0.8761671489944468,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,64,0,1.0,0.9276389118674717,"['SFHH', 'FFFF', 'FFHH', 'HFFG']"
1,69,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,83,0,1.0,0.9276389118674717,"['SHFH', 'FFFF', 'HFHF', 'FHFG']"
1,80,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HFFF', 'HFHG']"
1,75,0,1.0,0.9791880578299021,"['SHHH', 'FHHF', 'FFHH', 'FFFG']"
1,79,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'FFFG']"
1,69,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'FFFH', 'HFFG']"
1,85,0,1.0,0.9704017769489168,"['SFHH', 'FHHH', 'FFHF', 'FFFG']"
1,32,0,1.0,0.9733217421754432,"['SHFH', 'FHHH', 'FFFH', 'FFFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'FFFG']"
1,87,0,1.0,0.9445131481500655,"['SFHF', 'HFHF', 'FFFH', 'FFFG']"
1,57,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FFHH', 'FFFG']"
1,30,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,44,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHFH', 'FFFG']"
1,30,0,1.0,0.8201257512162927,"['SHFH', 'FFFF', 'FHFH', 'HFFG']"
1,85,0,1.0,0.8867604854519608,"['SFHH', 'HFFF', 'HHFH', 'FFFG']"
1,57,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'FFHF', 'HHHG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'HFFG']"
1,81,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FHFF', 'FHHG']"
1,47,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,85,0,1.0,0.9559328248389055,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFH', 'HFFG']"
1,9,0,1.0,0.8814479033836181,"['SFFF', 'FHFF', 'HFHF', 'HFHG']"
1,56,0,1.0,0.9704017769489168,"['SFFF', 'FHHH', 'FFHH', 'FFFG']"
1,70,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FHHF', 'HFFG']"
1,83,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,94,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FFFF', 'HFHG']"
1,16,0,1.0,0.8657003616774767,"['SFFH', 'HHFH', 'FFFF', 'HHHG']"
