Temperature,Simulations,Return,Discounted Return,Map
1,60,0,1.0,0.9388545698794984,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,79,0,1.0,0.9220814271464737,"['SFHF', 'HFFF', 'HHHF', 'FHFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,93,0,1.0,0.9416796087056153,"['SHHH', 'FFFF', 'HFFF', 'HFHG']"
1,82,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'HFFF', 'HHHG']"
1,30,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'FHHF', 'HHHG']"
1,42,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'FFFF', 'FHFG']"
1,68,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HFHG']"
1,32,0,1.0,0.9791880578299021,"['SFHF', 'HFHH', 'FFFH', 'FFFG']"
1,67,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'HHFF', 'FHFG']"
1,64,0,1.0,0.9502058312852957,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,56,0,1.0,0.9588092525966956,"['SHHH', 'FFHF', 'FFFF', 'HHFG']"
1,56,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFFF', 'FFFG']"
1,39,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,32,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FFHG']"
1,19,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'FFFF', 'HHHG']"
1,73,0,1.0,0.9791880578299021,"['SFHF', 'FHHH', 'FFFH', 'FFFG']"
1,56,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'HFHG']"
1,26,0,1.0,0.857932408958235,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,54,0,1.0,0.9165572373164391,"['SHFH', 'FFHF', 'FFFH', 'HHFG']"
1,63,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'HFFG']"
1,65,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,71,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,74,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFH', 'FHFG']"
1,86,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,62,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,87,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FHFF', 'FFFG']"
1,45,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HHFG']"
1,19,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,63,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FFFF', 'HFHG']"
1,58,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHHG']"
1,58,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'FFFF', 'HFFG']"
1,30,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,19,0,1.0,0.8250687380258053,"['SFFH', 'HFFH', 'HFFF', 'FFHG']"
1,37,0,1.0,0.9193151828650342,"['SHFH', 'FFFF', 'FHFF', 'FHHG']"
1,48,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FFHG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FHHF', 'FFHG']"
1,67,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,22,0,1.0,0.8974819010978248,"['SFFF', 'HFFH', 'FFFH', 'FHFG']"
1,44,0,1.0,0.9220814271464737,"['SFFF', 'FFFH', 'HFFF', 'HFHG']"
1,38,0,1.0,0.8814479033836181,"['SFFH', 'HHFF', 'FFHF', 'FHHG']"
1,66,0,1.0,0.9332298921513504,"['SFFF', 'FFFF', 'HFHH', 'FFFG']"
1,60,0,1.0,0.8921050870283477,"['SFHH', 'HFFH', 'FHFF', 'FHFG']"
1,40,0,1.0,0.9588092525966956,"['SHFH', 'FHFF', 'FFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'HFHG']"
1,39,0,1.0,0.9733217421754432,"['SHFF', 'FFFH', 'FFFH', 'FFFG']"
1,67,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,43,0,1.0,0.9502058312852957,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,76,0,1.0,0.9416796087056153,"['SFHF', 'FFFF', 'FHFF', 'HFHG']"
1,97,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFHH', 'FFFG']"
1,67,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHFG']"
1,29,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFH', 'FHFG']"
1,57,0,1.0,0.9821344612135428,"['SHFH', 'FHFF', 'FFHF', 'FFFG']"
1,48,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'FFFG']"
1,12,0,1.0,0.8735386475474635,"['SFHF', 'HFHF', 'HFFF', 'HHFG']"
1,95,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,63,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,31,0,1.0,0.9530650263643888,"['SFHH', 'FFHH', 'FFFH', 'HFFG']"
1,92,0,1.0,0.9762504936564125,"['SFFH', 'HFHF', 'FFFF', 'HFFG']"
1,92,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,21,0,1.0,0.798246224976786,"['SFFF', 'FFHH', 'HFFF', 'HHHG']"
1,11,0,0.0,0.0,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,44,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,67,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HFFF', 'FFHG']"
1,14,0,0.0,0.0,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,73,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'HFFH', 'FHFG']"
1,81,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HFFH', 'FFFG']"
1,19,0,1.0,0.9138075656044898,"['SFFF', 'HFHF', 'HHHF', 'HFHG']"
1,69,0,1.0,0.9588092525966956,"['SHHH', 'FFFF', 'HFFH', 'FFFG']"
1,65,0,1.0,0.9138075656044898,"['SFFF', 'FFHH', 'FFFF', 'FHHG']"
