Temperature,Simulations,Return,Discounted Return,Map
1,81,0,1.0,0.8631032605924442,"['SHFH', 'FFFF', 'FHHF', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,97,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,82,0,1.0,0.985089730404757,"['SFHF', 'FFHH', 'FHFH', 'FFFG']"
1,30,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'FFFG']"
1,9,0,1.0,0.9502058312852957,"['SHHF', 'FFFF', 'FFFF', 'FHFG']"
1,46,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FFFF', 'HHFG']"
1,87,0,1.0,0.9110661429076764,"['SHFH', 'FFFF', 'FHHF', 'HHFG']"
1,97,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FHFF', 'HHFG']"
1,78,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'FFHF', 'HHFG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FHHF', 'HFFG']"
1,11,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,81,0,1.0,0.9220814271464737,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,50,0,1.0,0.9616943356035061,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,15,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'FFFG']"
1,26,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HFHF', 'HHFG']"
1,11,0,1.0,0.8947894553945313,"['SFFF', 'HHFF', 'HHHF', 'FHFG']"
1,39,0,1.0,0.8867604854519608,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,79,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,71,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'FHFF', 'FFHG']"
1,65,0,1.0,0.9056079456455165,"['SHFF', 'FFHF', 'FFFF', 'HHHG']"
1,13,0,1.0,0.78398512608332,"['SFHH', 'FFFH', 'HFFF', 'HFFG']"
