Temperature,Simulations,Return,Discounted Return,Map
1,5,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'FFHG']"
1,52,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'FHFF', 'FFHG']"
1,12,0,1.0,0.8201257512162927,"['SFHF', 'HFHF', 'HFHH', 'FFFG']"
1,65,0,1.0,0.9502058312852957,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HFHG']"
1,29,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFHF', 'FHHG']"
1,56,0,1.0,0.776950406379376,"['SFFH', 'HHFH', 'FHFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFF', 'HFFF', 'FFHG']"
1,96,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFHF', 'FFHG']"
1,17,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'FFFH', 'FFFG']"
1,42,0,1.0,0.8921050870283477,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
