Temperature,Simulations,Return,Discounted Return,Map
1,86,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,10,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,100,0,1.0,0.9416796087056153,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,21,0,1.0,0.9165572373164391,"['SFFH', 'FFFH', 'FHFF', 'FFHG']"
1,100,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'FHFF', 'HFHG']"
1,78,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHH', 'HFFG']"
1,32,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFFH', 'FFFG']"
1,37,0,1.0,0.9388545698794984,"['SFFF', 'FFFF', 'FHFH', 'HHFG']"
1,62,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'FHHF', 'HFHG']"
1,59,0,1.0,0.90289112180858,"['SFHF', 'FFHH', 'HFHF', 'FFFG']"
1,65,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFHF', 'FFHG']"
1,77,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,22,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHH', 'FFFG']"
1,16,0,1.0,0.835044266956004,"['SFFH', 'FFHF', 'FHFH', 'FFFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FHFG']"
1,81,0,1.0,0.9821344612135428,"['SFFH', 'HHFH', 'FFFF', 'FFFG']"
1,100,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FHFF', 'FFFG']"
1,42,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,45,0,1.0,0.9056079456455165,"['SHHF', 'FFFH', 'HFFF', 'FFFG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FHFF', 'FFFG']"
1,42,0,1.0,0.9193151828650342,"['SFFH', 'FHHF', 'FFFF', 'HHHG']"
1,13,0,1.0,0.9445131481500655,"['SFFF', 'FHFF', 'FHHF', 'FHFG']"
1,87,0,1.0,0.8735386475474635,"['SHFH', 'FHFF', 'FFFF', 'HFHG']"
1,36,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHH', 'HFFG']"
1,53,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'HFFF', 'HFHG']"
1,25,0,1.0,0.9704017769489168,"['SFFH', 'HFHH', 'HFFF', 'HFFG']"
1,28,0,1.0,0.8921050870283477,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,88,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHF', 'HFFG']"
1,6,0,1.0,0.93603800616986,"['SFFF', 'FFFF', 'HFHF', 'HHHG']"
1,63,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HFFF', 'HFFG']"
1,49,0,1.0,0.9056079456455165,"['SFFH', 'HFFH', 'FFFF', 'FHHG']"
1,89,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,71,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHHF', 'FFHG']"
1,88,0,1.0,0.9821344612135428,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,93,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFHF', 'FHHG']"
1,51,0,1.0,0.9165572373164391,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,62,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FHHH', 'FFFG']"
1,91,0,1.0,0.884100203995605,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,60,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'HFFG']"
1,60,0,1.0,0.8426049842298329,"['SFHF', 'HFHF', 'FFFF', 'HHHG']"
1,26,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,38,0,1.0,0.8300415167526705,"['SHFH', 'FFFH', 'FFFF', 'HFHG']"
1,17,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,27,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'HHFG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFH', 'HFFG']"
