Temperature,Simulations,Return,Discounted Return,Map
1,40,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HHFG']"
1,10,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'FHFF', 'HFFG']"
1,96,0,1.0,0.9645880999032158,"['SHFF', 'FFFH', 'FHFH', 'FHFG']"
1,14,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFH', 'HFFG']"
1,26,0,1.0,0.8788035596734672,"['SHFH', 'FFHF', 'HFFF', 'FHFG']"
1,72,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,78,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'HHHG']"
1,67,0,1.0,0.860513950810667,"['SFFH', 'FFHF', 'FFFH', 'FHFG']"
1,62,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'HFFG']"
1,81,0,1.0,0.9674905716180701,"['SFFF', 'FHFH', 'FHFF', 'HFFG']"
1,22,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,57,0,1.0,0.8921050870283477,"['SFFH', 'FHFF', 'FHHF', 'HHHG']"
1,99,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'HFFG']"
1,94,0,1.0,0.7910835400474212,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,86,0,1.0,0.9193151828650342,"['SFFH', 'FFHF', 'HFFH', 'HHFG']"
1,76,0,1.0,0.9001824484431542,"['SFHH', 'FFFH', 'FHFF', 'HFFG']"
1,79,0,1.0,0.8761671489944468,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,71,0,1.0,0.9445131481500655,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,89,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FFFF', 'FFFG']"
1,85,0,1.0,0.9588092525966956,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,2,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FHHG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,55,0,1.0,0.8325391341551359,"['SFHH', 'HFFH', 'FFFF', 'HHFG']"
1,37,0,1.0,0.7699788094052729,"['SFFF', 'HHFH', 'HHFH', 'FHFG']"
1,32,0,1.0,0.9616943356035061,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FFFG']"
1,33,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHFF', 'FHFG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFF', 'HFHG']"
1,77,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'HFFF', 'FFHG']"
1,37,0,1.0,0.9083329444789534,"['SFHH', 'HFFH', 'FHFF', 'HHHG']"
1,19,0,1.0,0.9248559951318693,"['SFFF', 'HHHF', 'HHFF', 'FFHG']"
