Temperature,Simulations,Return,Discounted Return,Map
1,69,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FFHG']"
1,90,0,1.0,0.9193151828650342,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,17,0,1.0,0.9445131481500655,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,100,0,1.0,0.9473552137914398,"['SFFF', 'FHFH', 'FHHF', 'FFFG']"
1,14,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HFFF', 'FHHG']"
1,82,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHFF', 'HHFG']"
1,51,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HFHG']"
1,68,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'FHHG']"
1,72,0,1.0,0.9821344612135428,"['SHFF', 'FHHF', 'FFFH', 'FFFG']"
1,40,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,71,0,1.0,0.9276389118674717,"['SFHF', 'FFFH', 'HHFF', 'HFHG']"
1,11,0,0.0,0.0,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,72,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFHH', 'HFHH', 'HFFG']"
1,55,0,1.0,0.8761671489944468,"['SFHF', 'HFFF', 'FFHF', 'HFHG']"
1,24,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HFFF', 'FHHG']"
