Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,26,0,1.0,0.9193151828650342,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,51,0,1.0,0.8400771692771434,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,100,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,92,0,1.0,0.9733217421754432,"['SFFH', 'FHHF', 'FHFH', 'FFFG']"
1,58,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,77,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFHF', 'FFFG']"
1,77,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFHF', 'FFFG']"
1,50,0,1.0,0.9704017769489168,"['SFHH', 'HFHH', 'FFFF', 'HFFG']"
1,26,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFF', 'FHHG']"
1,51,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFFF', 'HHFG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFF', 'HHHG']"
1,30,0,1.0,0.9388545698794984,"['SFFH', 'HFFH', 'FHFF', 'FHHG']"
1,16,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'HFFG']"
1,44,0,1.0,0.9791880578299021,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,51,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HHHF', 'HFFG']"
1,6,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'HFFF', 'FFFG']"
1,17,0,1.0,0.798246224976786,"['SFFH', 'FHFF', 'HFHF', 'FFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,10,0,1.0,0.9138075656044898,"['SFFF', 'FHFF', 'HHHF', 'FHHG']"
1,64,0,1.0,0.9559328248389055,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,41,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'HFFF', 'HFHG']"
1,99,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'FHFF', 'HHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FFHG']"
1,49,0,1.0,0.9616943356035061,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFFH', 'HFFG']"
1,52,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HFHF', 'FFFG']"
