Temperature,Simulations,Return,Discounted Return,Map
1,41,0,1.0,0.9056079456455165,"['SHHF', 'FFFH', 'HHFF', 'HHFG']"
1,31,0,1.0,0.8476834558136123,"['SFFH', 'HFFH', 'HFHF', 'FFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHFF', 'HHFG']"
1,50,0,1.0,0.9220814271464737,"['SHHH', 'FFHH', 'HFFF', 'HFFG']"
1,39,0,1.0,0.9445131481500655,"['SFFF', 'HFHF', 'FFFF', 'FFHG']"
1,28,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FHHG']"
1,24,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,15,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'HFHG']"
1,66,0,1.0,0.8225935318117279,"['SFHH', 'FHFF', 'FFFF', 'HHFG']"
1,26,0,1.0,0.776950406379376,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,39,0,1.0,0.90289112180858,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
1,69,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,46,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HHFG']"
1,32,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FFHF', 'FFFG']"
1,87,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFFF', 'FFHG']"
1,46,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FHFF', 'FFFG']"
1,55,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FFHG']"
1,51,0,1.0,0.9559328248389055,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,39,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'HFFF', 'HHFG']"
1,67,0,1.0,0.9821344612135428,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
