Temperature,Simulations,Return,Discounted Return,Map
1,70,0,1.0,0.9332298921513504,"['SHHH', 'FFHH', 'FHFH', 'FFFG']"
1,85,0,1.0,0.985089730404757,"['SHHF', 'FHFH', 'FFHH', 'FFFG']"
1,51,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,29,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,84,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHH', 'HFFG']"
1,33,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'FHFG']"
1,95,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,23,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'HFFH', 'HFFG']"
1,90,0,1.0,0.9733217421754432,"['SFHF', 'HFHF', 'FFFF', 'HHFG']"
1,39,0,1.0,0.9332298921513504,"['SFHH', 'HFHF', 'FFFH', 'HHFG']"
1,48,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'HFFG']"
1,81,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,98,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FHFF', 'HHHG']"
1,59,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'HFFF', 'HFFG']"
1,75,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'FHHH', 'FFFG']"
1,79,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHHF', 'FFHG']"
1,1,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HFFG']"
1,62,0,1.0,0.8867604854519608,"['SHFF', 'FHFF', 'FFFH', 'HHFG']"
1,14,0,1.0,0.9056079456455165,"['SHFH', 'FFFF', 'FFHF', 'FFFG']"
1,31,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'HFFG']"
1,75,0,1.0,0.9588092525966956,"['SHHH', 'FHFF', 'FFFF', 'HHFG']"
