Temperature,Simulations,Return,Discounted Return,Map
1,20,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FHFG']"
1,35,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'HHFF', 'HHFG']"
1,60,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,42,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,88,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,27,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,39,0,1.0,0.9220814271464737,"['SFFH', 'HHFF', 'FHFF', 'FHFG']"
1,76,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,18,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HFHF', 'FFFG']"
1,74,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,7,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'FFFF', 'FFFG']"
1,44,0,1.0,0.9588092525966956,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,69,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFHF', 'FHHG']"
1,18,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,34,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
1,37,0,1.0,0.8103284404851119,"['SFFF', 'HFHF', 'HFHH', 'FFFG']"
1,99,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'HFFF', 'FHFG']"
1,5,0,1.0,0.7910835400474212,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,48,0,1.0,0.8657003616774767,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'HHFG']"
1,44,0,1.0,0.9304302024748964,"['SHFF', 'FHHH', 'FFFF', 'FHFG']"
1,86,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HHFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,11,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'HHHG']"
1,25,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'FHHH', 'FFHH', 'FFFG']"
1,13,0,0.0,0.0,"['SFFH', 'HFHF', 'HFHF', 'FFFG']"
1,32,0,1.0,0.9001824484431542,"['SHFF', 'FFFF', 'HHFF', 'HHFG']"
1,32,0,1.0,0.9332298921513504,"['SHHF', 'FHFF', 'FFFF', 'HFFG']"
1,22,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,83,0,1.0,0.9248559951318693,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
