Temperature,Simulations,Return,Discounted Return,Map
1,75,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFHH', 'FFFG']"
1,96,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,93,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,21,0,1.0,0.9445131481500655,"['SFFH', 'FHFH', 'FFFH', 'HHFG']"
1,4,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'HHFF', 'HHFG']"
1,35,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,27,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'FHFF', 'FHHG']"
1,52,0,1.0,0.9821344612135428,"['SHFH', 'FHHH', 'FFHF', 'FFFG']"
1,60,0,1.0,0.9674905716180701,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,58,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHF', 'FFFG']"
1,81,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'HFFF', 'HHFG']"
1,1,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'HFFF', 'HFFG']"
1,61,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'FFFF', 'FFHG']"
1,16,0,1.0,0.93603800616986,"['SFFH', 'FHFF', 'HFFF', 'HFHG']"
1,92,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,89,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,58,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFH', 'HFFG']"
1,12,0,1.0,0.8735386475474635,"['SFHF', 'HFFF', 'FHFF', 'FHFG']"
1,32,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'FFFH', 'FFFG']"
1,79,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FFFF', 'HHFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHF', 'FFFG']"
