Temperature,Simulations,Return,Discounted Return,Map
1,25,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,40,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'FFFG']"
1,65,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,93,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,10,0,0.0,0.0,"['SHFF', 'FFHH', 'FFHF', 'HFFG']"
1,20,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'FHHG']"
1,16,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,64,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,60,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHF', 'HFFG']"
1,36,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,51,0,1.0,0.9056079456455165,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,90,0,1.0,0.8451404054461714,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,59,0,1.0,0.8921050870283477,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,55,0,1.0,0.9304302024748964,"['SFFH', 'HFFH', 'FFFF', 'FHHG']"
1,20,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'HFFH', 'HHFG']"
1,86,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FHHG']"
1,37,0,1.0,0.9276389118674717,"['SFHF', 'HFHH', 'HFFF', 'FFFG']"
1,44,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'HFFH', 'FFFG']"
1,28,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFH', 'FHFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'HFFG']"
1,21,0,1.0,0.7863441585589971,"['SFFF', 'HHFH', 'FHFF', 'HHHG']"
1,41,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,25,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,88,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'FFFG']"
1,94,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HFHF', 'FFFG']"
1,16,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FFFF', 'FFFG']"
1,72,0,1.0,0.860513950810667,"['SHHH', 'FFHH', 'HFFF', 'HFHG']"
1,18,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'HHHG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFFF', 'HFFG']"
1,43,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FHHG']"
1,92,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,8,0,0.0,0.0,"['SFFF', 'HFFH', 'HHFF', 'HHHG']"
1,57,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,45,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HFHF', 'HFHG']"
1,81,0,1.0,0.8921050870283477,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,37,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,87,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,39,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FFFG']"
1,84,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,78,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
