Temperature,Simulations,Return,Discounted Return,Map
1,98,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFHF', 'HHHG']"
1,35,0,0.0,0.0,"['SFFF', 'HFHF', 'HFFH', 'FHFG']"
1,11,0,0.0,0.0,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,53,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'HHFF', 'FHFG']"
1,85,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FFHG']"
1,51,0,1.0,0.9416796087056153,"['SFHH', 'FFFF', 'FHFF', 'HFHG']"
1,84,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HFFF', 'HFHG']"
1,57,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'FHFG']"
1,46,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'FFHF', 'FFFG']"
1,88,0,1.0,0.985089730404757,"['SFHH', 'FHHH', 'FFHH', 'FFFG']"
1,87,0,1.0,0.90289112180858,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,51,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FHFF', 'HHFG']"
1,76,0,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HFHF', 'HHFG']"
1,43,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,78,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFF', 'FFFG']"
1,58,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FFFH', 'HFFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FHFG']"
1,37,0,1.0,0.9416796087056153,"['SFHF', 'FFHF', 'FFFF', 'FFHG']"
1,72,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFF', 'HFHG']"
1,31,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,38,0,1.0,0.8867604854519608,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,67,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,19,0,0.0,0.0,"['SHFH', 'FFHF', 'FHFF', 'FFFG']"
1,49,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HFHF', 'FFHG']"
1,73,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,55,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FHFG']"
1,43,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFH', 'FHFG']"
1,49,0,1.0,0.9445131481500655,"['SFHF', 'FHHF', 'FHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FHFG']"
1,56,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHF', 'HFFG']"
1,36,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'HHHF', 'FFFG']"
1,81,0,1.0,0.9388545698794984,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,24,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'HHFG']"
1,46,0,1.0,0.9193151828650342,"['SFHH', 'HFHH', 'FFHH', 'FFFG']"
1,56,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'FHFF', 'FHFG']"
1,63,0,1.0,0.9559328248389055,"['SFHF', 'FFHH', 'HFHH', 'FFFG']"
1,74,0,1.0,0.985089730404757,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,45,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'FFFF', 'FHFG']"
1,38,0,1.0,0.9276389118674717,"['SFFH', 'FFHF', 'FHHF', 'FFFG']"
1,79,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,71,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FHFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HFFG']"
1,57,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,7,0,1.0,0.8553586117313603,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,37,0,1.0,0.9056079456455165,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,76,0,1.0,0.9332298921513504,"['SFHH', 'FFFH', 'FHFF', 'HFFG']"
1,73,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFH', 'FFFG']"
1,26,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFFH', 'FFFG']"
1,37,0,1.0,0.9276389118674717,"['SFHF', 'FFHF', 'FFHF', 'HFFG']"
1,51,0,1.0,0.8631032605924442,"['SHFH', 'FHHF', 'FFFF', 'HHFG']"
1,8,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHH', 'HFFG']"
1,26,0,1.0,0.9276389118674717,"['SHHH', 'FHFF', 'FFFF', 'FFFG']"
1,91,0,1.0,0.9502058312852957,"['SFFF', 'FFFH', 'FHHF', 'FFFG']"
1,32,0,1.0,0.8201257512162927,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,59,0,1.0,0.7746195551602378,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,72,0,1.0,0.9248559951318693,"['SFFF', 'HFHF', 'FFFH', 'HHFG']"
1,79,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FHHG']"
1,64,0,1.0,0.93603800616986,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,92,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFHF', 'HFHG']"
1,83,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,47,0,1.0,0.9645880999032158,"['SFHH', 'FHFH', 'FFFF', 'FHFG']"
1,93,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFF', 'HHFG']"
1,29,0,1.0,0.9416796087056153,"['SFFH', 'HFFF', 'HHFF', 'FFHG']"
1,36,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHF', 'HHHG']"
1,44,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHFF', 'FHFG']"
1,74,0,1.0,0.7607805594527743,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,26,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFHH', 'FFFG']"
1,4,0,1.0,0.8325391341551359,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
