Temperature,Simulations,Return,Discounted Return,Map
1,83,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FFFH', 'HFFG']"
1,74,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,20,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHH', 'FFFG']"
1,65,0,1.0,0.9674905716180701,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,40,0,1.0,0.9674905716180701,"['SFFF', 'FFHH', 'FFHF', 'HFFG']"
1,28,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,65,0,1.0,0.9791880578299021,"['SFHF', 'HFHF', 'HFFF', 'FFHG']"
1,89,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFH', 'HHFG']"
1,60,0,1.0,0.8250687380258053,"['SFFH', 'FFHH', 'FFFH', 'HHFG']"
1,65,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,63,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,51,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'HFHG']"
1,91,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,93,0,1.0,0.9332298921513504,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,64,0,1.0,0.7887102894272789,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HHFG']"
1,17,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHF', 'HFFG']"
1,88,0,1.0,0.9704017769489168,"['SHFH', 'FHHH', 'FFHH', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'FHHG']"
1,77,0,1.0,0.9304302024748964,"['SHFH', 'FFHH', 'FFFF', 'HFHG']"
1,47,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'HHFG']"
1,42,0,1.0,0.9704017769489168,"['SHFH', 'FFFF', 'FFFF', 'HHFG']"
1,51,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,27,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,78,0,1.0,0.9110661429076764,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FFHG']"
1,30,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FHHF', 'FFHG']"
1,4,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HFHG']"
1,80,0,1.0,0.9733217421754432,"['SFHF', 'FHFF', 'FFHF', 'HFFG']"
1,35,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HFFF', 'FHHG']"
1,99,0,1.0,0.9616943356035061,"['SFFH', 'HFHF', 'FFHH', 'HFFG']"
1,41,0,1.0,0.9733217421754432,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,84,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HFHH', 'FFFG']"
1,99,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HFFH', 'HFFG']"
1,73,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,40,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHF', 'HFFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,65,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
