Temperature,Simulations,Return,Discounted Return,Map
1,64,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,16,0,1.0,0.985089730404757,"['SFFH', 'HHFH', 'FFFF', 'FFFG']"
1,65,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'HFFG']"
1,61,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HFHG']"
1,69,0,1.0,0.9821344612135428,"['SFHF', 'HFHF', 'FFFF', 'HFFG']"
1,49,0,1.0,0.9388545698794984,"['SHFF', 'FFHF', 'FHHF', 'FFFG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HFFG']"
1,31,0,0.0,0.0,"['SFFH', 'HFHF', 'FFHH', 'HFFG']"
1,79,0,1.0,0.9791880578299021,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,91,0,1.0,0.93603800616986,"['SFFH', 'FFHH', 'FHHF', 'FFFG']"
1,64,0,1.0,0.9138075656044898,"['SFHF', 'FFFF', 'HFHH', 'FFFG']"
1,53,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'HHHG']"
1,58,0,1.0,0.9530650263643888,"['SHFF', 'FFFH', 'FFFH', 'FHFG']"
1,70,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,44,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HHFG']"
1,37,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FHFF', 'HHFG']"
1,32,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'FHFF', 'FFHG']"
1,44,0,1.0,0.9276389118674717,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,47,0,1.0,0.9559328248389055,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,81,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'FFHH', 'FFFG']"
1,59,0,1.0,0.8400771692771434,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,47,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FFFF', 'HFHG']"
1,54,0,1.0,0.8527925358961662,"['SFHF', 'FHFF', 'FFFF', 'FHFG']"
1,53,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,47,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'HFHG']"
1,39,0,1.0,0.90289112180858,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,59,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HFFG']"
1,56,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHH', 'FFFG']"
1,8,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,56,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'HFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,56,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FFHF', 'HHFG']"
1,46,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,74,0,1.0,0.7630697687590515,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,34,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'HHHF', 'FFFG']"
1,16,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.9416796087056153,"['SFHF', 'FHFF', 'FHFH', 'FFFG']"
1,18,0,1.0,0.9248559951318693,"['SFFH', 'FFHH', 'FFHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,13,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'FFHG']"
1,20,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFF', 'FHHG']"
1,10,0,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,93,0,1.0,0.9473552137914398,"['SHFH', 'FFFH', 'FHFF', 'FFHG']"
1,70,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFF', 'FHHG']"
1,24,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'HFHG']"
1,8,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HHHG']"
1,39,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,43,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFF', 'HHHG']"
1,10,0,0.0,0.0,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,34,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,98,0,1.0,0.9791880578299021,"['SFHH', 'FHHF', 'FFFH', 'FFFG']"
1,51,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFH', 'FFFG']"
1,42,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'FHFH', 'HHFG']"
1,97,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFFH', 'FFFG']"
1,52,0,1.0,0.9193151828650342,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,99,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,91,0,1.0,0.9332298921513504,"['SFHH', 'HFHH', 'FFFF', 'FFHG']"
1,17,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'FHFF', 'HFFG']"
