Temperature,Simulations,Return,Discounted Return,Map
1,31,0,1.0,0.9704017769489168,"['SHHF', 'FFHH', 'FFHH', 'FFFG']"
1,50,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,36,0,1.0,0.8947894553945313,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HFHG']"
1,41,0,1.0,0.8735386475474635,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHHF', 'HFHG']"
1,54,0,1.0,0.8974819010978248,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,47,0,1.0,0.8947894553945313,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
1,65,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,17,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,33,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'FFHG']"
1,62,0,1.0,0.9762504936564125,"['SHFH', 'FHHF', 'FFFF', 'FFFG']"
1,83,0,1.0,0.9762504936564125,"['SFHH', 'FHHH', 'FHHH', 'FFFG']"
1,47,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,14,0,1.0,0.8657003616774767,"['SFHF', 'FFFH', 'FFHH', 'FFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FHFG']"
1,19,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FFFF', 'FFHG']"
1,87,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'FHHG']"
1,56,0,1.0,0.9530650263643888,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
1,60,0,1.0,0.9762504936564125,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,97,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'HFFF', 'FHFG']"
1,42,0,1.0,0.9674905716180701,"['SHHH', 'FFHF', 'FFFF', 'HHFG']"
1,88,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,59,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,9,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'HHFG']"
1,3,0,0.0,0.0,"['SFHF', 'HFHH', 'HFHF', 'HFFG']"
1,19,0,1.0,0.8176653739626438,"['SFFH', 'FFFH', 'FHFH', 'HHFG']"
1,79,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HFFG']"
1,90,0,1.0,0.9616943356035061,"['SHHF', 'FHHF', 'FFFF', 'HHFG']"
1,91,0,1.0,0.9388545698794984,"['SFFF', 'HHFH', 'FFFF', 'HHFG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HHFF', 'FFFG']"
1,98,0,1.0,0.9473552137914398,"['SHFF', 'FFHF', 'HFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,98,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FHHF', 'HHFG']"
1,31,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'HHHG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,90,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'HFFF', 'FHFG']"
1,61,0,1.0,0.9762504936564125,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
1,54,0,1.0,0.985089730404757,"['SFHF', 'FFHH', 'FFFH', 'HFFG']"
1,22,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FFHF', 'HHFG']"
1,42,0,1.0,0.767668872977057,"['SHHF', 'FFFF', 'FHHF', 'FHHG']"
1,14,0,0.0,0.0,"['SFFH', 'FHHH', 'FFHH', 'FFFG']"
1,74,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,40,0,1.0,0.8502341582884777,"['SHFH', 'FFFH', 'FHFF', 'HHFG']"
1,32,0,1.0,0.9559328248389055,"['SHHF', 'FFFF', 'HFFH', 'HFFG']"
1,76,0,1.0,0.9616943356035061,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,65,0,1.0,0.8683052775100066,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,79,0,1.0,0.8735386475474635,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,71,0,1.0,0.93603800616986,"['SFFH', 'FFFF', 'FFHF', 'HHFG']"
1,62,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'FHFF', 'FHFG']"
1,13,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,41,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FFHG']"
1,53,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FHFF', 'HHFG']"
1,27,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'HFFF', 'HFHG']"
1,87,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
1,58,0,1.0,0.9110661429076764,"['SFFF', 'FFHH', 'FFFF', 'HHHG']"
1,100,0,1.0,0.9704017769489168,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,51,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FHHF', 'FHHG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,11,0,1.0,0.8761671489944468,"['SFHF', 'HFFF', 'HHFF', 'HHFG']"
1,42,0,1.0,0.7722956964947572,"['SFHF', 'HFFF', 'FHFH', 'FHFG']"
1,49,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HHHG']"
1,47,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FFFF', 'FHHG']"
1,78,0,1.0,0.9502058312852957,"['SFFF', 'HFHF', 'FFHH', 'HFFG']"
1,37,0,1.0,0.9110661429076764,"['SFFH', 'FFHF', 'FFFF', 'HHFG']"
1,36,0,1.0,0.9588092525966956,"['SHFH', 'FFHH', 'FHHF', 'FFFG']"
1,57,0,1.0,0.93603800616986,"['SHFH', 'FHFF', 'FFFF', 'FFHG']"
1,94,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,96,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'FFFF', 'FHHG']"
1,86,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FHHF', 'HHHG']"
1,15,0,1.0,0.9416796087056153,"['SFFF', 'HFFF', 'HHFF', 'HHFG']"
